algorithm, size, time
quickSelect, 992, 0.001591
quickSelect, 992, 0.001589
quickSelect, 992, 0.001593
quickSelect, 992, 0.001638
quickSelect, 1107, 0.002090
quickSelect, 1107, 0.001972
quickSelect, 1107, 0.002012
quickSelect, 1107, 0.001971
quickSelect, 1107, 0.001974
quickSelect, 1107, 0.001975
quickSelect, 1107, 0.001967
quickSelect, 1107, 0.001965
quickSelect, 1107, 0.002054
quickSelect, 1107, 0.002054
quickSelect, 1107, 0.001972
quickSelect, 1107, 0.001973
quickSelect, 1107, 0.001964
quickSelect, 1107, 0.001978
quickSelect, 1107, 0.001973
quickSelect, 1107, 0.001970
quickSelect, 1107, 0.002020
quickSelect, 1107, 0.002052
quickSelect, 1107, 0.002000
quickSelect, 1107, 0.002008
quickSelect, 1235, 0.002453
quickSelect, 1235, 0.002445
quickSelect, 1235, 0.002449
quickSelect, 1235, 0.002490
quickSelect, 1235, 0.002543
quickSelect, 1235, 0.002474
quickSelect, 1235, 0.002442
quickSelect, 1235, 0.002455
quickSelect, 1235, 0.002451
quickSelect, 1235, 0.002444
quickSelect, 1235, 0.002563
quickSelect, 1235, 0.002533
quickSelect, 1235, 0.002498
quickSelect, 1235, 0.002446
quickSelect, 1235, 0.002453
quickSelect, 1235, 0.002448
quickSelect, 1235, 0.002453
quickSelect, 1235, 0.002546
quickSelect, 1235, 0.002494
quickSelect, 1235, 0.002446
quickSelect, 1377, 0.003044
quickSelect, 1377, 0.003049
quickSelect, 1377, 0.003034
quickSelect, 1377, 0.003189
quickSelect, 1377, 0.003058
quickSelect, 1377, 0.003082
quickSelect, 1377, 0.003040
quickSelect, 1377, 0.003031
quickSelect, 1377, 0.003107
quickSelect, 1377, 0.003125
quickSelect, 1377, 0.003030
quickSelect, 1377, 0.003042
quickSelect, 1377, 0.003031
quickSelect, 1377, 0.003059
quickSelect, 1377, 0.003167
quickSelect, 1377, 0.003069
quickSelect, 1377, 0.003040
quickSelect, 1377, 0.003040
quickSelect, 1377, 0.003027
quickSelect, 1377, 0.003102
quickSelect, 1536, 0.003858
quickSelect, 1536, 0.003828
quickSelect, 1536, 0.003805
quickSelect, 1536, 0.003832
quickSelect, 1536, 0.003886
quickSelect, 1536, 0.003831
quickSelect, 1536, 0.003766
quickSelect, 1536, 0.003777
quickSelect, 1536, 0.003898
quickSelect, 1536, 0.003807
quickSelect, 1536, 0.003762
quickSelect, 1536, 0.003776
quickSelect, 1536, 0.003873
quickSelect, 1536, 0.003827
quickSelect, 1536, 0.003765
quickSelect, 1536, 0.003770
quickSelect, 1536, 0.003792
quickSelect, 1536, 0.003897
quickSelect, 1536, 0.003772
quickSelect, 1536, 0.003774
quickSelect, 1714, 0.005032
quickSelect, 1714, 0.005012
quickSelect, 1714, 0.005188
quickSelect, 1714, 0.005007
quickSelect, 1714, 0.005271
quickSelect, 1714, 0.004996
quickSelect, 1714, 0.004868
quickSelect, 1714, 0.004758
quickSelect, 1714, 0.004898
quickSelect, 1714, 0.004694
quickSelect, 1714, 0.004698
quickSelect, 1714, 0.004854
quickSelect, 1714, 0.004722
quickSelect, 1714, 0.004679
quickSelect, 1714, 0.004760
quickSelect, 1714, 0.004825
quickSelect, 1714, 0.004686
quickSelect, 1714, 0.004679
quickSelect, 1714, 0.004848
quickSelect, 1714, 0.004710
quickSelect, 1912, 0.005840
quickSelect, 1912, 0.005977
quickSelect, 1912, 0.005862
quickSelect, 1912, 0.005818
quickSelect, 1912, 0.006029
quickSelect, 1912, 0.005828
quickSelect, 1912, 0.005828
quickSelect, 1912, 0.005982
quickSelect, 1912, 0.005865
quickSelect, 1912, 0.005903
quickSelect, 1912, 0.005935
quickSelect, 1912, 0.005824
