size,quickselect,heapselect,medianmediansselect
414, 0.000002, 0.000012, 0.000048
414, 0.000015, 0.000007, 0.000047
414, 0.000014, 0.000009, 0.000031
414, 0.000006, 0.000007, 0.000036
414, 0.000011, 0.000006, 0.000037
414, 0.000007, 0.000007, 0.000031
414, 0.000011, 0.000006, 0.000039
414, 0.000009, 0.000005, 0.000026
414, 0.000005, 0.000006, 0.000040
414, 0.000010, 0.000006, 0.000027
414, 0.000006, 0.000007, 0.000041
414, 0.000006, 0.000010, 0.000032
414, 0.000008, 0.000009, 0.000033
414, 0.000006, 0.000007, 0.000049
414, 0.000002, 0.000009, 0.000037
414, 0.000006, 0.000009, 0.000034
414, 0.000004, 0.000010, 0.000048
414, 0.000004, 0.000012, 0.000056
414, 0.000018, 0.000007, 0.000049
414, 0.000010, 0.000007, 0.000035
414, 0.000006, 0.000011, 0.000545
414, 0.000023, 0.000008, 0.000062
414, 0.000007, 0.000007, 0.000046
414, 0.000008, 0.000006, 0.000032
414, 0.000007, 0.000010, 0.000036
